CircuitLength,TrackTemp,AirTemp,prev_stint_length,EventEncoded,DegradationSlope,DegradationBias,DesignedLaps,Humidity,Rainfall,SafetyCar
4259,36.10569620253165,21.50443037974684,19.0,8,-0.0883693181818187,75.79019318181817,72,54.10822784810126,0,0
4381,27.129850746268666,20.74179104477612,32.0,12,-0.3444877450980375,85.1115490196078,70,77.19253731343284,1,0
5793,41.201398601398594,28.090909090909093,22.0,13,-0.3324389743589744,90.72233333333332,53,40.12447552447553,0,0
5793,41.201398601398594,28.090909090909093,8.0,13,-0.3807627350427367,92.64034188034192,53,40.12447552447553,0,0
5000,43.22758620689656,25.287068965517243,16.0,0,-0.2397128078817713,95.70704827586202,52,58.55603448275862,0,0
5000,43.10227272727273,30.16988636363636,7.0,26,0.2136558441558429,82.80001298701298,59,39.94431818181818,0,0
4909,23.2608,18.0304,28.0,10,0.6608300395256916,76.48726086956522,63,71.1368,0,0
4657,32.9223076923077,22.203076923076924,18.0,22,-0.0707332015810275,86.2699347826087,66,57.55307692307692,0,0
4304,47.579268292682926,21.206707317073167,13.0,14,-1.1221696969696926,89.63316363636359,71,31.2109756097561,0,0
4657,47.55581395348836,29.7968992248062,21.0,22,-0.3983428571428595,86.98800000000001,66,56.38449612403101,0,0
5000,16.360204081632652,9.499999999999998,21.0,9,-0.4603178260869588,103.36528,60,59.40408163265305,1,0
5000,38.95074626865672,19.392537313432832,0.0,17,-1.847233333333332,107.83562631578944,66,39.403731343283575,0,0
4657,32.9223076923077,22.203076923076924,30.0,22,-0.6558351648351605,86.77216483516477,66,57.55307692307692,0,0
5000,15.205755395683456,13.09568345323741,28.0,25,-0.8407582417582414,114.99585714285708,58,80.1611510791367,1,0
4657,32.9223076923077,22.203076923076924,14.0,22,-0.1463852173913066,83.7668466666667,66,57.55307692307692,0,0
5412,28.61042944785276,23.617791411042944,23.0,5,0.0243896103896115,105.2200909090909,57,29.49079754601227,0,0
5000,39.92,20.8225,25.0,23,-0.2437818181818184,71.99834199134197,71,34.005,1,0
4259,36.10569620253165,21.50443037974684,34.0,8,-0.1985425641025641,78.40620512820512,72,54.10822784810126,0,0
5000,38.95074626865672,19.392537313432832,0.0,17,-1.518259740259741,105.5505497835498,66,39.403731343283575,0,0
5412,28.61042944785276,23.617791411042944,18.0,5,0.6376758241758274,101.38463736263732,57,29.49079754601227,0,0
5000,16.360204081632652,9.499999999999998,25.0,9,-0.4214992307692317,103.36487076923076,60,59.40408163265305,1,0
5412,42.81975308641975,30.617283950617285,30.0,15,-0.478995604395608,98.1581142857143,57,58.858024691358025,1,0
5891,50.93152173913043,29.4,16.0,7,-0.1411242236024803,96.17421343873514,52,37.202173913043474,0,0
