CircuitLength,cumulative_laps,TrackTemp,AirTemp,stint_num,EventEncoded,Humidity,Rainfall,SafetyCar
5000,26,40.34242424242424,28.80606060606061,1,19,51.36287878787879,0,0
5000,27,23.469291338582668,20.947244094488195,1,20,58.169291338582674,0,0
4318,22,52.025,28.684166666666663,1,3,33.8325,0,0
5000,21,52.35254237288136,26.692372881355933,1,23,33.246610169491525,0,0
4318,21,52.025,28.684166666666663,1,3,33.8325,0,0
5000,10,38.31453488372093,24.17093023255814,1,4,55.80523255813954,0,0
5000,24,39.92,20.8225,1,23,34.005,1,0
4304,12,47.579268292682926,21.206707317073167,1,14,31.2109756097561,0,0
4909,26,16.827329192546582,10.62111801242236,1,10,69.4888198757764,1,0
5000,13,21.75696202531645,19.13860759493671,1,19,61.947468354430384,1,0
5000,28,35.22879999999999,25.3144,1,11,58.6304,0,0
7004,18,29.82396694214876,18.568595041322315,1,6,54.85289256198346,0,0
5000,10,16.360204081632652,9.499999999999998,1,9,59.40408163265305,1,0
5281,19,28.4656050955414,24.519108280254777,1,1,59.05477707006369,0,0
4909,14,23.2608,18.0304,1,10,71.1368,0,0
5000,24,39.92,20.8225,1,23,34.005,1,0
5412,14,28.61042944785276,23.617791411042944,1,5,29.49079754601227,0,0
5000,15,21.75696202531645,19.13860759493671,1,19,61.947468354430384,1,0
6174,13,28.40921052631579,25.42039473684211,1,21,59.66447368421053,0,0
4909,17,17.41898734177215,12.899367088607592,1,10,83.17088607594937,0,0
5000,28,21.75696202531645,19.13860759493671,1,19,61.947468354430384,1,0
5513,18,37.47080745341616,28.148447204968942,1,27,61.19254658385093,0,0
4259,30,36.10569620253165,21.50443037974684,1,8,54.10822784810126,0,0
5000,14,43.22758620689656,25.287068965517243,1,0,58.55603448275862,0,0
5000,6,15.205755395683456,13.09568345323741,1,25,80.1611510791367,1,0
5000,18,43.22758620689656,25.287068965517243,1,0,58.55603448275862,0,0
7004,10,29.82396694214876,18.568595041322315,1,6,54.85289256198346,0,0
4318,29,33.18397435897436,20.96602564102564,1,3,49.73076923076923,1,0
5793,22,41.201398601398594,28.090909090909093,1,13,40.12447552447553,0,0
5281,10,27.98,23.12148148148148,1,1,55.44666666666667,0,0
5412,18,42.81975308641975,30.617283950617285,1,15,58.858024691358025,1,0
5000,18,30.60328947368421,26.41513157894737,1,18,75.54013157894737,1,0
5000,26,21.75696202531645,19.13860759493671,1,19,61.947468354430384,1,0
5412,27,42.81975308641975,30.617283950617285,1,15,58.858024691358025,1,0
5412,12,28.61042944785276,23.617791411042944,1,5,29.49079754601227,0,0
5000,9,15.205755395683456,13.09568345323741,1,25,80.1611510791367,1,0
4304,33,47.579268292682926,21.206707317073167,1,14,31.2109756097561,0,0
5000,26,23.469291338582668,20.947244094488195,1,20,58.169291338582674,0,0
4304,16,47.579268292682926,21.206707317073167,1,14,31.2109756097561,0,0
4657,21,47.55581395348836,29.7968992248062,1,22,56.38449612403101,0,0
5513,9,37.47080745341616,28.148447204968942,1,27,61.19254658385093,0,0
5000,25,25.715625,20.50546875,1,17,67.528125,0,0
