CircuitLength,TrackTemp,AirTemp,prev_stint_length,EventEncoded,DegradationSlope,DegradationBias,DesignedLaps,Humidity,Rainfall,SafetyCar
5000,43.22758620689656,25.287068965517243,14.0,0,-0.8378216783216768,98.6162692307692,52,58.55603448275862,0,0
4657,47.55581395348836,29.7968992248062,20.0,22,-0.0822865217391324,87.10467000000001,66,56.38449612403101,0,0
4381,27.129850746268666,20.74179104477612,0.0,12,-0.9563063725490162,96.29450980392154,70,77.19253731343284,1,0
5303,37.40833333333334,26.69743589743589,0.0,2,-0.0536367389060886,84.68680116959064,58,43.65384615384615,0,0
5412,28.61042944785276,23.617791411042944,13.0,5,-0.1487476002258603,103.5064861660079,57,29.49079754601227,0,0
4657,32.9223076923077,22.203076923076924,23.0,22,-0.0554340378198025,83.94579354838713,66,57.55307692307692,0,0
5412,27.627819548872186,20.53834586466165,13.0,5,-0.273047368421052,100.33821578947368,56,54.517293233082704,0,0
4318,52.025,28.684166666666663,21.0,3,-0.9743215384615376,88.49293846153844,71,33.8325,0,0
5000,18.18089171974522,15.82547770700637,0.0,25,-0.3876487859966105,100.0303122529644,58,93.5248407643312,0,0
4657,47.55581395348836,29.7968992248062,0.0,22,-0.2092313681868767,87.55928817204304,66,56.38449612403101,0,0
4657,47.55581395348836,29.7968992248062,29.0,22,0.9247333333333358,89.94306666666665,66,56.38449612403101,0,0
6174,28.40921052631579,25.42039473684211,0.0,21,-2.6570714285714265,117.56227472527466,50,59.66447368421053,0,0
5281,28.4656050955414,24.519108280254777,18.0,1,-0.0340840336134451,92.06315126050424,58,59.05477707006369,0,0
5412,28.61042944785276,23.617791411042944,19.0,5,-0.2300381836945303,103.95404678362571,57,29.49079754601227,0,0
5412,42.81975308641975,30.617283950617285,27.0,15,-0.0764099616858227,101.05139162561576,57,58.858024691358025,1,0
5412,28.61042944785276,23.617791411042944,14.0,5,-0.2034330886504798,102.90595652173911,57,29.49079754601227,0,0
5000,15.205755395683456,13.09568345323741,11.0,25,-1.9281071428571503,121.24260714285712,58,80.1611510791367,1,0
7004,29.82396694214876,18.568595041322315,10.0,6,-0.2544673387096782,116.01978427419355,44,54.85289256198346,0,0
5412,28.61042944785276,23.617791411042944,17.0,5,-0.2880382352941162,103.86128676470592,57,29.49079754601227,0,0
4657,47.55581395348836,29.7968992248062,32.0,22,-0.0312000000000014,85.67126666666668,66,56.38449612403101,0,0
4318,52.025,28.684166666666663,22.0,3,0.0527813125695198,80.97167096774197,71,33.8325,0,0
5412,42.81975308641975,30.617283950617285,34.0,15,-0.7216142857142863,106.96680952380952,57,58.858024691358025,1,0
4318,52.025,28.684166666666663,21.0,3,-0.8531015384615387,85.78989846153846,71,33.8325,0,0
3337,37.59555555555556,20.760740740740744,0.0,16,-0.0112152788388077,76.59664033613446,78,61.42444444444444,0,0
4657,47.55581395348836,29.7968992248062,28.0,22,-0.1559909090909077,86.97495670995669,66,56.38449612403101,0,0
5412,27.627819548872186,20.53834586466165,12.0,5,-0.204192207792208,99.49458874458874,56,54.517293233082704,0,0
6174,28.40921052631579,25.42039473684211,0.0,21,-0.9281151515151506,100.21701818181816,50,59.66447368421053,0,0
4657,47.55581395348836,29.7968992248062,19.0,22,-0.2661470588235272,88.08610294117648,66,56.38449612403101,0,0
4381,27.129850746268666,20.74179104477612,0.0,12,-0.3793429059829059,90.12940170940172,70,77.19253731343284,1,0
5412,27.548148148148147,25.09907407407407,0.0,5,-2.487362745098036,128.34919607843133,57,67.84722222222223,0,0
5000,40.34242424242424,28.80606060606061,0.0,19,-0.4188259803921529,105.59813725490194,53,51.36287878787879,0,0
4657,32.9223076923077,22.203076923076924,21.0,22,-0.3083210784313709,88.08809803921567,66,57.55307692307692,0,0
5793,41.201398601398594,28.090909090909093,20.0,13,-5.179600000000026,123.09700000000004,53,40.12447552447553,0,0
5281,28.4656050955414,24.519108280254777,0.0,1,0.8484597402597404,88.73454545454544,58,59.05477707006369,0,0
5000,39.92,20.8225,0.0,23,-0.0992128342245982,70.6610705882353,71,34.005,1,0
4381,27.129850746268666,20.74179104477612,0.0,12,-0.9779860139860136,94.0670897435897,70,77.19253731343284,1,0
5000,30.60328947368421,26.41513157894737,23.0,18,0.0966965622612688,87.65518319327731,57,75.54013157894737,1,0
5412,42.81975308641975,30.617283950617285,30.0,15,1.098054545454542,94.89036363636367,57,58.858024691358025,1,0
4259,36.10569620253165,21.50443037974684,0.0,8,-0.076258620689654,76.86806896551721,72,54.10822784810126,0,0
5000,25.715625,20.50546875,31.0,17,-0.1951217723453006,86.45797983193276,66,67.528125,0,0
5891,50.93152173913043,29.4,0.0,7,-0.0937990196078404,93.69362745098036,52,37.202173913043474,0,0
3337,37.59555555555556,20.760740740740744,0.0,16,0.0911648351648376,75.82485714285713,78,61.42444444444444,0,0
5000,15.205755395683456,13.09568345323741,8.0,25,-0.6677061538461524,115.4541938461538,58,80.1611510791367,1,0
5412,27.548148148148147,25.09907407407407,0.0,5,-1.8723896103896112,124.31846753246752,57,67.84722222222223,0,0
5000,21.75696202531645,19.13860759493671,13.0,19,-0.0321407181054228,102.93788067226892,53,61.947468354430384,1,0
5000,16.360204081632652,9.499999999999998,16.0,9,-0.02168226600985,92.69662068965508,60,59.40408163265305,1,0
5891,50.93152173913043,29.4,0.0,7,-0.42291948051948,101.6107186147186,52,37.202173913043474,0,0
4657,47.55581395348836,29.7968992248062,34.0,22,-0.2215620967741953,88.00078629032261,66,56.38449612403101,0,0
7004,29.82396694214876,18.568595041322315,10.0,6,0.0001105672969951,110.82216344086028,44,54.85289256198346,0,0
5000,16.360204081632652,9.499999999999998,28.0,9,-0.0577369868035199,97.97364204545453,60,59.40408163265305,1,0
5412,28.61042944785276,23.617791411042944,11.0,5,-0.4637308823529387,104.08279411764708,57,29.49079754601227,0,0
4318,33.18397435897436,20.96602564102564,0.0,3,-0.5509852216748754,81.69037192118225,71,49.73076923076923,1,0
5000,23.469291338582668,20.947244094488195,31.0,20,-0.1137459062676461,62.1845138339921,87,58.169291338582674,0,0
5281,28.4656050955414,24.519108280254777,17.0,1,-0.5077588235294103,95.0910661764706,58,59.05477707006369,0,0
5412,27.627819548872186,20.53834586466165,24.0,5,-0.0419165322580668,98.42613508064518,56,54.517293233082704,0,0
5000,16.360204081632652,9.499999999999998,7.0,9,-0.2593323529411763,98.08536764705887,60,59.40408163265305,1,0
7004,29.82396694214876,18.568595041322315,11.0,6,0.0499644048943249,107.90891612903226,44,54.85289256198346,0,0
6174,28.40921052631579,25.42039473684211,16.0,21,-0.2352681451612913,100.99882862903226,50,59.66447368421053,0,0
4657,47.55581395348836,29.7968992248062,21.0,22,-0.2056187969924831,86.32792857142861,66,56.38449612403101,0,0
4909,23.2608,18.0304,34.0,10,0.3609182266009868,83.6307310344827,63,71.1368,0,0
5891,50.93152173913043,29.4,0.0,7,-0.2285110107284017,98.99550197628456,52,37.202173913043474,0,0
4259,36.10569620253165,21.50443037974684,10.0,8,-0.0537118411000766,78.91289243697481,72,54.10822784810126,0,0
5412,42.81975308641975,30.617283950617285,0.0,15,-3.158153571428568,126.94314166666663,57,58.858024691358025,1,0
5412,27.548148148148147,25.09907407407407,0.0,5,-4.351412087912091,136.8293956043956,57,67.84722222222223,0,0
7004,29.82396694214876,18.568595041322315,11.0,6,-0.0838974416017806,110.39514623655916,44,54.85289256198346,0,0
4259,36.10569620253165,21.50443037974684,0.0,8,-0.0283312569521686,77.84763655913977,72,54.10822784810126,0,0
4657,32.9223076923077,22.203076923076924,27.0,22,-0.1119159065628496,85.25364731182798,66,57.55307692307692,0,0
5412,42.81975308641975,30.617283950617285,26.0,15,-0.1050830280830271,96.89074603174603,57,58.858024691358025,1,0
5412,27.627819548872186,20.53834586466165,0.0,5,-0.6592749999999968,104.83225833333331,56,54.517293233082704,0,0
5513,37.47080745341616,28.148447204968942,15.0,27,-0.3616999999999977,106.04740526315786,56,61.19254658385093,0,0
5303,37.40833333333334,26.69743589743589,13.0,2,1.4494848484848493,83.04501818181812,58,43.65384615384615,0,0
4318,52.025,28.684166666666663,19.0,3,-0.3180161538461552,80.82475384615385,71,33.8325,0,0
4909,23.2608,18.0304,13.0,10,-0.7157648351648404,86.62111428571433,63,71.1368,0,0
5513,37.47080745341616,28.148447204968942,10.0,27,-0.1710511278195519,105.14288571428575,56,61.19254658385093,0,0
5000,39.92,20.8225,32.0,23,-0.1109346065699002,71.20397983193277,71,34.005,1,0
5000,30.60328947368421,26.41513157894737,19.0,18,0.1340463015245628,87.98424110671937,57,75.54013157894737,1,0
5793,43.52751677852349,28.885234899328864,26.0,13,-1.13267923076923,105.38859076923076,53,33.275838926174494,0,0
5000,43.22758620689656,25.287068965517243,26.0,0,-0.1472207692307695,95.49100923076924,52,58.55603448275862,0,0
5281,27.98,23.12148148148148,31.0,1,-0.0514235294117647,106.53967647058828,55,55.44666666666667,0,0
5000,30.60328947368421,26.41513157894737,9.0,18,0.0825138461538458,89.71171384615384,57,75.54013157894737,1,0
5793,43.52751677852349,28.885234899328864,26.0,13,-0.0357005928853759,87.33683695652174,53,33.275838926174494,0,0
5000,52.35254237288136,26.692372881355933,0.0,23,-0.2093065217391322,75.41973333333338,71,33.246610169491525,0,0
5891,50.93152173913043,29.4,0.0,7,-0.0671296703296734,95.03477142857146,52,37.202173913043474,0,0
5000,30.60328947368421,26.41513157894737,33.0,18,-0.137657142857144,89.6742,57,75.54013157894737,1,0
4381,27.129850746268666,20.74179104477612,0.0,12,-0.1901917494270444,86.13354621848742,70,77.19253731343284,1,0
5281,28.4656050955414,24.519108280254777,23.0,1,-0.0617770856507257,92.78250107526884,58,59.05477707006369,0,0
5000,30.60328947368421,26.41513157894737,17.0,18,0.1227391304347818,86.82350000000004,57,75.54013157894737,1,0
5000,15.205755395683456,13.09568345323741,6.0,25,-0.7439313043478278,116.18171000000004,58,80.1611510791367,1,0
5000,43.22758620689656,25.287068965517243,26.0,0,-3.191428571428569,102.07490476190472,52,58.55603448275862,0,0
6174,28.40921052631579,25.42039473684211,16.0,21,-1.3721705882352886,108.82440441176468,50,59.66447368421053,0,0
5000,25.715625,20.50546875,19.0,17,-0.1801098901098887,85.8055767195767,66,67.528125,0,0
5000,16.360204081632652,9.499999999999998,29.0,9,-0.6390879120879078,98.5425274725274,60,59.40408163265305,1,0
5000,30.60328947368421,26.41513157894737,31.0,18,0.0014586956521703,92.3556833333334,57,75.54013157894737,1,0
5793,43.52751677852349,28.885234899328864,23.0,13,-0.9361935960591103,107.432572413793,53,33.275838926174494,0,0
