CircuitLength,cumulative_laps,TrackTemp,AirTemp,stint_num,EventEncoded,Humidity,Rainfall,SafetyCar
5000,64,25.715625,20.50546875,3,21,67.528125,0,0
4381,66,27.129850746268666,20.74179104477612,3,14,77.19253731343284,1,0
5807,53,42.070253164556966,27.28860759493671,3,16,42.31645569620253,0,0
5513,55,37.47080745341616,28.148447204968942,3,32,61.19254658385093,0,0
5000,50,17.723776223776223,17.825174825174823,3,17,47.86013986013986,0,0
5807,32,37.50110497237569,21.69116022099448,3,16,43.430939226519335,0,0
7004,34,28.24066666666667,17.873333333333335,3,6,61.92666666666667,1,0
5412,38,27.548148148148147,25.09907407407407,3,5,67.84722222222223,0,0
4318,64,46.42097902097903,29.42587412587413,3,3,35.00699300699301,1,0
4657,52,48.957317073170735,36.56585365853658,3,27,7.109756097560975,0,0
5000,51,43.22758620689656,25.287068965517243,3,0,58.55603448275862,0,0
5793,49,41.201398601398594,28.090909090909093,3,15,40.12447552447553,0,0
5793,52,43.13877551020408,27.73469387755102,3,15,33.14965986394558,0,0
5412,45,28.61042944785276,23.617791411042944,3,5,29.49079754601227,0,0
5793,51,42.928205128205136,29.330128205128204,3,15,42.32051282051282,0,0
4259,57,33.44601226993865,22.73006134969325,3,10,75.38036809815951,0,0
4318,71,33.18397435897436,20.96602564102564,3,3,49.73076923076923,1,0
7004,42,28.24066666666667,17.873333333333335,3,6,61.92666666666667,1,0
5000,20,25.715625,20.50546875,3,21,67.528125,0,0
4361,70,41.26111111111111,20.762962962962963,3,8,28.925925925925927,0,0
4381,70,26.720958083832333,18.55988023952096,3,14,69.31736526946108,1,0
4381,70,44.91612903225806,28.82387096774194,3,14,46.92258064516129,0,0
5513,56,35.523529411764706,29.28529411764706,3,32,49.62352941176471,0,0
4657,66,41.09610389610391,24.132467532467533,3,27,63.44155844155844,1,0
5891,50,50.93152173913043,29.4,3,7,37.202173913043474,0,0
5000,44,36.93207547169812,31.46289308176101,3,22,73.15723270440252,0,0
5513,54,40.62857142857143,29.96011904761904,3,32,41.910714285714285,0,0
5412,45,28.61042944785276,23.617791411042944,3,5,29.49079754601227,0,0
4318,70,46.42097902097903,29.42587412587413,3,3,35.00699300699301,1,0
4657,65,33.838961038961045,22.674025974025977,3,27,63.07792207792208,0,0
5891,38,30.02610837438424,18.25320197044335,3,7,59.748768472906406,1,0
5891,51,27.670068027210885,15.77074829931973,3,7,67.33333333333333,1,0
5891,52,27.670068027210885,15.77074829931973,3,7,67.33333333333333,1,0
4318,71,46.42097902097903,29.42587412587413,3,3,35.00699300699301,1,0
4361,53,24.569911504424784,17.797345132743363,3,8,73.38053097345133,1,0
4657,66,33.838961038961045,22.674025974025977,3,27,63.07792207792208,0,0
5281,57,34.31032258064516,28.575483870967748,3,1,61.68387096774194,0,0
5412,57,28.61042944785276,23.617791411042944,3,5,29.49079754601227,0,0
5000,53,54.46171875,30.164843750000003,3,13,47.734375,0,0
4361,34,30.59320987654321,18.53024691358025,3,8,63.901234567901234,0,0
5807,21,37.50110497237569,21.69116022099448,3,16,43.430939226519335,0,0
5000,36,36.93207547169812,31.46289308176101,3,22,73.15723270440252,0,0
4381,66,27.129850746268666,20.74179104477612,3,14,77.19253731343284,1,0
5303,20,38.40208333333333,20.62222222222222,3,2,44.451388888888886,0,0
4909,63,16.827329192546582,10.62111801242236,3,12,69.4888198757764,1,0
5891,38,30.02610837438424,18.25320197044335,3,7,59.748768472906406,1,0
4381,69,48.579268292682926,28.808536585365857,3,14,32.80487804878049,0,0
5000,58,15.205755395683456,13.09568345323741,3,30,80.1611510791367,1,0
4318,70,33.18397435897436,20.96602564102564,3,3,49.73076923076923,1,0
5412,56,23.652866242038225,18.22738853503185,3,5,48.82165605095541,0,0
5412,40,31.01180124223602,27.43167701863354,3,5,21.496894409937887,0,0
4909,62,17.41898734177215,12.899367088607592,3,12,83.17088607594937,0,0
5807,33,37.50110497237569,21.69116022099448,3,16,43.430939226519335,0,0
5412,56,23.652866242038225,18.22738853503185,3,5,48.82165605095541,0,0
5807,38,37.50110497237569,21.69116022099448,3,16,43.430939226519335,0,0
5000,38,29.79272727272728,18.63939393939394,3,9,66.06060606060606,0,0
7004,31,36.08397435897436,21.78717948717949,3,6,40.51923076923077,0,0
4318,66,52.025,28.684166666666663,3,3,33.8325,0,0
4309,44,46.04910179640718,23.01077844311377,3,29,76.07784431137725,0,0
5793,53,49.31127819548872,33.1015037593985,3,15,32.285714285714285,0,0
5412,57,31.01180124223602,27.43167701863354,3,5,21.496894409937887,0,0
5000,50,17.723776223776223,17.825174825174823,3,17,47.86013986013986,0,0
4909,63,16.827329192546582,10.62111801242236,3,12,69.4888198757764,1,0
4657,66,33.838961038961045,22.674025974025977,3,27,63.07792207792208,0,0
4381,70,44.91612903225806,28.82387096774194,3,14,46.92258064516129,0,0
5000,51,36.93207547169812,31.46289308176101,3,22,73.15723270440252,0,0
5793,51,42.928205128205136,29.330128205128204,3,15,42.32051282051282,0,0
5807,13,19.93058823529412,16.717647058823534,3,16,86.21176470588236,1,0
4361,52,24.569911504424784,17.797345132743363,3,8,73.38053097345133,1,0
5807,26,19.93058823529412,16.717647058823534,3,16,86.21176470588236,1,0
4657,66,33.838961038961045,22.674025974025977,3,27,63.07792207792208,0,0
5000,50,17.99444444444444,18.05,3,17,47.36111111111112,0,0
5891,39,30.02610837438424,18.25320197044335,3,7,59.748768472906406,1,0
5891,51,30.02610837438424,18.25320197044335,3,7,59.748768472906406,1,0
4381,70,48.579268292682926,28.808536585365857,3,14,32.80487804878049,0,0
4361,70,30.59320987654321,18.53024691358025,3,8,63.901234567901234,0,0
