CircuitLength,TrackTemp,AirTemp,prev_stint_length,EventEncoded,DegradationSlope,DegradationBias,DesignedLaps,Humidity,Rainfall,SafetyCar
7004,28.24066666666667,17.873333333333335,19.0,6,-0.4024392857142849,115.28607499999998,44,61.92666666666667,1,0
5000,36.93207547169812,31.46289308176101,14.0,22,-0.6291888111888129,94.23153846153843,57,73.15723270440252,0,0
5281,33.46089743589744,26.96282051282052,24.0,1,-0.2020129870129862,92.6830346320346,58,51.0,0,0
7004,36.08397435897436,21.78717948717949,20.0,6,-0.3777867132867089,117.3902435897436,44,40.51923076923077,0,0
5807,19.93058823529412,16.717647058823534,0.0,16,-0.2247871259175627,113.65835573122531,53,86.21176470588236,1,0
4381,26.720958083832333,18.55988023952096,24.0,14,0.100230432402847,83.36903201970442,70,69.31736526946108,1,0
7004,28.24066666666667,17.873333333333335,12.0,6,-0.1108608058608047,114.35296825396829,44,61.92666666666667,1,0
5000,38.95074626865672,19.392537313432832,0.0,21,-1.3593155844155853,104.64082251082247,66,39.403731343283575,0,0
4309,46.04910179640718,23.01077844311377,21.0,29,-0.2638970588235267,79.90788235294116,71,76.07784431137725,0,0
4259,33.44601226993865,22.73006134969325,29.0,10,0.2833010989010958,84.11968571428575,72,75.38036809815951,0,0
5807,19.93058823529412,16.717647058823534,0.0,16,-0.2100434782608684,112.16486956521736,53,86.21176470588236,1,0
4318,46.42097902097903,29.42587412587413,27.0,3,-0.0052294354838719,72.36086088709676,71,35.00699300699301,1,0
4909,23.2608,18.0304,34.0,12,-4.554157342657343,124.19244871794868,63,71.1368,0,0
4381,44.91612903225806,28.82387096774194,29.0,14,-0.067752005347594,86.50475935828874,70,46.92258064516129,0,0
4657,32.9223076923077,22.203076923076924,29.0,27,-0.3175056759545921,86.83363157894735,66,57.55307692307692,0,0
5281,34.31032258064516,28.575483870967748,24.0,1,-0.1669917293233094,93.35317142857149,58,61.68387096774194,0,0
4318,46.42097902097903,29.42587412587413,30.0,3,-0.1772872180451155,74.2986285714286,71,35.00699300699301,1,0
5000,16.360204081632652,9.499999999999998,28.0,11,-2.962676470588233,124.3203235294118,60,59.40408163265305,1,0
5000,23.469291338582668,20.947244094488195,28.0,24,-0.4626133021390383,70.74020677361851,87,58.169291338582674,0,0
4657,41.09610389610391,24.132467532467533,18.0,27,-0.1327009803921577,83.48107843137255,66,63.44155844155844,1,0
5000,29.79272727272728,18.63939393939394,12.0,9,-1.0735997067448673,126.56554545454544,56,66.06060606060606,0,0
5281,27.98,23.12148148148148,24.0,1,-0.3410473684210509,107.14379473684208,55,55.44666666666667,0,0
5000,38.95074626865672,19.392537313432832,0.0,21,-1.847233333333332,107.83562631578944,66,39.403731343283575,0,0
5000,43.22758620689656,25.287068965517243,12.0,0,-1.2473333333333283,100.6387777777777,52,58.55603448275862,0,0
5891,27.670068027210885,15.77074829931973,8.0,7,-1.4220727272727336,110.64612727272724,52,67.33333333333333,1,0
5000,52.35254237288136,26.692372881355933,0.0,28,-0.1083205213903755,71.52673440285204,71,33.246610169491525,0,0
4657,48.957317073170735,36.56585365853658,21.0,27,-0.1174981196581178,89.57103418803416,66,7.109756097560975,0,0
4381,48.579268292682926,28.808536585365857,9.0,14,-0.1238038461538449,86.70620615384613,70,32.80487804878049,0,0
5000,38.95074626865672,19.392537313432832,0.0,21,-1.9072621259029885,107.76545029239765,66,39.403731343283575,0,0
7004,28.24066666666667,17.873333333333335,16.0,6,-0.2898060606060587,115.7109272727272,44,61.92666666666667,1,0
5412,27.627819548872186,20.53834586466165,14.0,5,-0.264633478260872,98.97749333333338,57,54.517293233082704,0,0
4657,32.9223076923077,22.203076923076924,14.0,27,-0.1463852173913066,83.7668466666667,66,57.55307692307692,0,0
4381,27.129850746268666,20.74179104477612,34.0,14,-0.1682083743842357,82.8376758620689,70,77.19253731343284,1,0
7004,28.24066666666667,17.873333333333335,16.0,6,-0.3697890109890155,113.55462857142862,44,61.92666666666667,1,0
7004,36.08397435897436,21.78717948717949,11.0,6,-0.2036212590299256,116.6585029239766,44,40.51923076923077,0,0
5000,16.360204081632652,9.499999999999998,25.0,11,-0.4214992307692317,103.36487076923076,60,59.40408163265305,1,0
5807,42.070253164556966,27.28860759493671,15.0,16,-0.1580317460317459,101.48259788359788,53,42.31645569620253,0,0
7004,36.08397435897436,21.78717948717949,16.0,6,-0.2199714285714279,114.47593333333334,44,40.51923076923077,0,0
4309,46.04910179640718,23.01077844311377,23.0,29,-0.824892173913044,94.97817666666668,71,76.07784431137725,0,0
5412,27.627819548872186,20.53834586466165,22.0,5,-0.2806912280701745,98.59890526315787,57,54.517293233082704,0,0
5793,43.52751677852349,28.885234899328864,24.0,15,-2.078654545454542,103.0755454545454,53,33.275838926174494,0,0
4381,37.822513089005234,27.226701570680625,0.0,14,-0.2410488922841864,88.78998319327732,70,68.61570680628273,1,0
4381,26.720958083832333,18.55988023952096,23.0,14,0.1031193548387084,83.7730483870968,70,69.31736526946108,1,0
5807,19.93058823529412,16.717647058823534,0.0,16,-0.187644268774706,112.96956521739136,53,86.21176470588236,1,0
5000,23.469291338582668,20.947244094488195,31.0,24,1.390821428571427,61.76874999999999,87,58.169291338582674,0,0
4657,33.838961038961045,22.674025974025977,20.0,27,-0.2174675324675307,81.47605627705624,66,63.07792207792208,0,0
3337,31.038367346938774,22.27469387755102,24.0,20,-0.5770534759358271,91.4850588235294,78,75.66530612244898,1,0
4657,32.9223076923077,22.203076923076924,18.0,27,-0.0707332015810275,86.2699347826087,66,57.55307692307692,0,0
4657,47.55581395348836,29.7968992248062,23.0,27,-0.2016545454545447,86.40230735930736,66,56.38449612403101,0,0
5303,38.40208333333333,20.62222222222222,24.0,2,1.011487745098039,76.98645098039218,58,44.451388888888886,0,0
5000,15.205755395683456,13.09568345323741,28.0,30,-0.8407582417582414,114.99585714285708,58,80.1611510791367,1,0
5807,19.93058823529412,16.717647058823534,0.0,16,-0.1936259740259733,111.58159307359306,53,86.21176470588236,1,0
5793,41.201398601398594,28.090909090909093,22.0,15,-0.3298061538461545,90.70623076923076,53,40.12447552447553,0,0
5303,38.40208333333333,20.62222222222222,29.0,2,0.6249610389610397,78.35372294372293,58,44.451388888888886,0,0
7004,42.26715328467153,21.32846715328467,10.0,6,-0.092664935064936,109.7853636363636,44,49.58394160583941,0,0
5000,41.21,24.860625,18.0,4,-0.1666817186644755,109.40759605911327,51,49.225,0,0
5000,43.22758620689656,25.287068965517243,16.0,0,-0.4187205882352924,95.6094705882353,52,58.55603448275862,0,0
5891,30.02610837438424,18.25320197044335,24.0,7,-0.2137256521739175,95.86813666666671,52,59.748768472906406,1,0
5281,33.46089743589744,26.96282051282052,24.0,1,-0.2181916971916959,92.89249206349204,58,51.0,0,0
5513,35.523529411764706,29.28529411764706,17.0,32,-0.2037857142857126,103.533,56,49.62352941176471,0,0
5793,41.201398601398594,28.090909090909093,22.0,15,-0.4188868376068373,91.49800854700857,53,40.12447552447553,0,0
4361,24.569911504424784,17.797345132743363,13.0,8,-0.8744982456140347,100.59179999999996,70,73.38053097345133,1,0
5891,27.670068027210885,15.77074829931973,11.0,7,-0.6370307692307716,96.90391428571432,52,67.33333333333333,1,0
4318,46.42097902097903,29.42587412587413,24.0,3,-0.0159715909090918,73.33845454545452,71,35.00699300699301,1,0
4309,51.56139240506329,23.1373417721519,7.0,29,-0.9960259740259731,92.16254545454544,71,60.10126582278481,0,0
5513,35.523529411764706,29.28529411764706,23.0,32,-0.3320288957688311,105.15913450292396,56,49.62352941176471,0,0
5807,42.070253164556966,27.28860759493671,16.0,16,-0.1575105263157874,100.4364368421052,53,42.31645569620253,0,0
5063,36.42215909090909,29.844318181818185,24.0,26,-0.8969917440660428,109.98270760233916,62,72.0284090909091,0,0
5891,30.02610837438424,18.25320197044335,32.0,7,0.0373714285714295,99.9435714285714,52,59.748768472906406,1,0
5000,43.22758620689656,25.287068965517243,27.0,0,-0.6963999999999992,95.03954545454546,52,58.55603448275862,0,0
5513,40.62857142857143,29.96011904761904,19.0,32,-0.3542280701754379,105.37384210526312,56,41.910714285714285,0,0
4381,48.579268292682926,28.808536585365857,27.0,14,-0.077489053092501,86.8544236453202,70,32.80487804878049,0,0
4381,48.579268292682926,28.808536585365857,18.0,14,-0.1292778260869588,85.18857000000003,70,32.80487804878049,0,0
5000,25.715625,20.50546875,25.0,21,-0.3633675889328072,85.93635968379446,66,67.528125,0,0
5793,41.201398601398594,28.090909090909093,22.0,15,-0.3129753846153849,90.88484615384615,53,40.12447552447553,0,0
5000,30.60328947368421,26.41513157894737,20.0,22,0.1195849572649575,88.14295726495725,57,75.54013157894737,1,0
5412,28.61042944785276,23.617791411042944,18.0,5,-0.3393321678321679,102.47991025641024,57,29.49079754601227,0,0
5891,30.02610837438424,18.25320197044335,17.0,7,-0.2527383458646654,100.29811428571436,52,59.748768472906406,1,0
4657,33.838961038961045,22.674025974025977,24.0,27,-0.1362017961876827,82.19728409090906,66,63.07792207792208,0,0
4381,27.129850746268666,20.74179104477612,0.0,14,-0.1708699507389159,83.91193793103444,70,77.19253731343284,1,0
4657,32.9223076923077,22.203076923076924,17.0,27,-0.1141435897435898,85.96864102564102,66,57.55307692307692,0,0
4381,26.720958083832333,18.55988023952096,20.0,14,-0.5770629514963895,92.43714619883043,70,69.31736526946108,1,0
5793,49.31127819548872,33.1015037593985,18.0,15,-0.326296103896104,86.98105627705628,53,32.285714285714285,0,0
4381,37.822513089005234,27.226701570680625,0.0,14,-0.5849210526315811,92.33350000000004,70,68.61570680628273,1,0
3337,39.25568181818182,25.06590909090909,0.0,20,-0.8181853846153858,106.12546461538464,78,45.86363636363637,1,0
5000,17.99444444444444,18.05,23.0,17,-0.158428006775832,99.1510395256917,50,47.36111111111112,0,0
4657,41.09610389610391,24.132467532467533,21.0,27,-0.1168551724137953,81.44020000000005,66,63.44155844155844,1,0
5000,36.93207547169812,31.46289308176101,17.0,22,-0.4691936274509791,92.41060784313724,57,73.15723270440252,0,0
4657,33.838961038961045,22.674025974025977,22.0,27,-0.1462306451612916,82.29184677419357,66,63.07792207792208,0,0
4318,32.05424836601307,22.398039215686275,13.0,3,-0.0743689655172397,72.3079586206896,71,52.04575163398693,1,0
4657,32.9223076923077,22.203076923076924,30.0,27,-1.362000000000008,88.75450000000001,66,57.55307692307692,0,0
5412,44.664,28.521999999999995,13.0,19,-0.3284705882352919,95.74741176470586,57,59.00666666666667,0,0
5513,35.523529411764706,29.28529411764706,21.0,32,-0.2468852173913072,106.57851333333342,56,49.62352941176471,0,0
5891,27.670068027210885,15.77074829931973,11.0,7,-1.1532285714285757,102.46977142857148,52,67.33333333333333,1,0
5000,38.95074626865672,19.392537313432832,0.0,21,-1.3938368153585532,104.65305928853752,66,39.403731343283575,0,0
5513,37.47080745341616,28.148447204968942,21.0,32,-0.3700098039215634,105.41984313725484,56,61.19254658385093,0,0
4381,48.579268292682926,28.808536585365857,23.0,14,-0.1447905982905978,85.90753703703705,70,32.80487804878049,0,0
4657,41.09610389610391,24.132467532467533,25.0,27,-0.1978390739695084,83.71308300395255,66,63.44155844155844,1,0
5000,16.360204081632652,9.499999999999998,15.0,11,-2.221758823529409,115.7839411764706,60,59.40408163265305,1,0
5412,27.548148148148147,25.09907407407407,24.0,5,0.3102993035190617,93.71945454545452,57,67.84722222222223,0,0
3337,39.25568181818182,25.06590909090909,7.0,20,-0.9086308695652188,105.89913000000004,78,45.86363636363637,1,0
5412,31.01180124223602,27.43167701863354,12.0,5,-0.540154411764702,106.20335294117643,57,21.496894409937887,0,0
5000,15.205755395683456,13.09568345323741,7.0,30,-1.1831272727272693,109.79463636363636,58,80.1611510791367,1,0
5412,27.548148148148147,25.09907407407407,15.0,5,-0.2423781954887238,99.55834285714288,57,67.84722222222223,0,0
4361,24.569911504424784,17.797345132743363,17.0,8,-0.4135384615384631,91.86511111111112,70,73.38053097345133,1,0
4909,23.2608,18.0304,12.0,12,-5.344835664335662,125.34867948717944,63,71.1368,0,0
5000,41.21,24.860625,6.0,4,-0.3988898927159786,114.48934387351775,51,49.225,0,0
4909,23.2608,18.0304,24.0,12,-4.917363636363634,127.56233333333331,63,71.1368,0,0
3337,31.038367346938774,22.27469387755102,7.0,20,-0.7837859649122786,88.8417578947368,78,75.66530612244898,1,0
5000,17.723776223776223,17.825174825174823,15.0,17,-0.3346315789473651,101.01947953216371,50,47.86013986013986,0,0
5891,27.670068027210885,15.77074829931973,10.0,7,-0.8372714285714272,99.32436666666668,52,67.33333333333333,1,0
4381,44.91612903225806,28.82387096774194,20.0,14,-0.1612696078431347,84.57980392156861,70,46.92258064516129,0,0
4318,32.05424836601307,22.398039215686275,13.0,3,-0.0549776392961873,71.7888409090909,71,52.04575163398693,1,0
4909,42.023776223776224,25.11398601398601,33.0,12,-0.1664561403508757,84.63573684210522,63,48.42657342657343,0,0
4909,23.2608,18.0304,9.0,12,-4.647225274725278,124.98204395604398,63,71.1368,0,0
4381,27.129850746268666,20.74179104477612,0.0,14,-0.1128064957264959,82.59558119658121,70,77.19253731343284,1,0
3337,39.25568181818182,25.06590909090909,0.0,20,-0.9588774703557332,105.37778260869568,78,45.86363636363637,1,0
4657,47.55581395348836,29.7968992248062,24.0,27,-0.2243181818181799,86.0459913419913,66,56.38449612403101,0,0
4657,47.55581395348836,29.7968992248062,24.0,27,-0.2258000000000023,86.19020000000003,66,56.38449612403101,0,0
3337,31.038367346938774,22.27469387755102,9.0,20,-0.2530508021390386,83.3509643493761,78,75.66530612244898,1,0
5000,38.95074626865672,19.392537313432832,0.0,21,-1.778735087719296,107.14014210526314,66,39.403731343283575,0,0
4657,41.09610389610391,24.132467532467533,18.0,27,-0.2009473684210512,82.21571929824562,66,63.44155844155844,1,0
4361,30.59320987654321,18.53024691358025,29.0,8,-0.0234211822660075,76.60282758620684,70,63.901234567901234,0,0
7004,42.26715328467153,21.32846715328467,24.0,6,-0.8954833333333325,113.06271111111108,44,49.58394160583941,0,0
5000,15.205755395683456,13.09568345323741,27.0,30,-0.405111801242236,105.33281027667984,58,80.1611510791367,1,0
4657,32.9223076923077,22.203076923076924,21.0,27,-0.3088977443609044,86.3109285714286,66,57.55307692307692,0,0
7004,28.24066666666667,17.873333333333335,19.0,6,-0.1924561403508766,114.1777894736842,44,61.92666666666667,1,0
4657,41.09610389610391,24.132467532467533,32.0,27,-0.1730343478260894,82.6481866666667,66,63.44155844155844,1,0
5793,42.928205128205136,29.330128205128204,20.0,15,-0.3845024509803912,90.5659019607843,53,42.32051282051282,0,0
4657,32.9223076923077,22.203076923076924,30.0,27,-1.3140333333333354,88.69835555555552,66,57.55307692307692,0,0
7004,28.24066666666667,17.873333333333335,20.0,6,-0.0612543859649088,114.18655263157883,44,61.92666666666667,1,0
5807,42.070253164556966,27.28860759493671,17.0,16,-0.2303701754385946,100.3705947368421,53,42.31645569620253,0,0
5303,38.40208333333333,20.62222222222222,27.0,2,0.5136798418972328,79.15477075098815,58,44.451388888888886,0,0
5000,36.93207547169812,31.46289308176101,13.0,22,-0.4082600619195026,91.7456549707602,57,73.15723270440252,0,0
4381,26.720958083832333,18.55988023952096,18.0,14,-0.4425357142857133,88.50201666666666,70,69.31736526946108,1,0
5513,37.47080745341616,28.148447204968942,22.0,32,-0.1868321428571425,107.73035833333331,56,61.19254658385093,0,0
5513,35.523529411764706,29.28529411764706,18.0,32,-0.276828995601172,108.44088068181811,56,49.62352941176471,0,0
3337,31.038367346938774,22.27469387755102,23.0,20,-0.1798540903540904,85.41776984126984,78,75.66530612244898,1,0
4318,32.05424836601307,22.398039215686275,12.0,3,-0.2800006105006098,76.2736746031746,71,52.04575163398693,1,0
4381,27.129850746268666,20.74179104477612,15.0,14,-0.1146145161290348,84.80205645161293,70,77.19253731343284,1,0
4318,52.025,28.684166666666663,30.0,3,-2.984428571428571,100.07566666666668,71,33.8325,0,0
5793,43.13877551020408,27.73469387755102,7.0,15,2.317972727272726,91.72595454545458,53,33.14965986394558,0,0
5513,37.47080745341616,28.148447204968942,21.0,32,-0.8242727272727236,107.46009090909092,56,61.19254658385093,0,0
5000,17.723776223776223,17.825174825174823,20.0,17,-0.1385712820512825,100.29410256410256,50,47.86013986013986,0,0
4657,33.838961038961045,22.674025974025977,34.0,27,-0.1701439316239324,83.00799145299148,66,63.07792207792208,0,0
5063,28.973333333333333,26.23254901960784,0.0,26,-0.4906298245614007,116.62356315789468,61,87.44705882352942,1,0
