CircuitLength,TrackTemp,AirTemp,prev_stint_length,EventEncoded,DegradationSlope,DegradationBias,DesignedLaps,Humidity,Rainfall,SafetyCar
5000,22.77350993377484,18.926490066225167,9.0,22,-2.7858022556390982,123.60587142857143,57,57.25165562913907,0,0
4259,33.44601226993865,22.73006134969325,10.0,10,-2.9559535714285667,105.17780833333332,72,75.38036809815951,0,0
4657,33.838961038961045,22.674025974025977,28.0,27,-0.3763785714285674,82.75238333333333,66,63.07792207792208,0,0
4309,46.04910179640718,23.01077844311377,17.0,29,-2.339701754385962,107.84699999999997,71,76.07784431137725,0,0
5000,36.93207547169812,31.46289308176101,18.0,22,-0.66628351648352,91.3106285714286,57,73.15723270440252,0,0
5000,22.77350993377484,18.926490066225167,0.0,22,-2.7973624060150364,123.11964285714282,57,57.25165562913907,0,0
5412,27.627819548872186,20.53834586466165,20.0,5,-0.6229065934065912,100.19590109890105,57,54.517293233082704,0,0
5412,27.548148148148147,25.09907407407407,18.0,5,1.0685147058823543,92.21452941176469,57,67.84722222222223,0,0
5807,37.50110497237569,21.69116022099448,15.0,16,-0.1924902319902321,99.20948412698412,53,43.430939226519335,0,0
3337,39.25568181818182,25.06590909090909,0.0,20,-0.4924828431372517,100.22933333333329,78,45.86363636363637,1,0
5412,27.548148148148147,25.09907407407407,19.0,5,1.4122843137254917,92.02501960784312,57,67.84722222222223,0,0
5000,15.205755395683456,13.09568345323741,25.0,30,-0.4041928571428557,104.39828333333332,58,80.1611510791367,1,0
5412,28.61042944785276,23.617791411042944,8.0,5,-2.0119999999999982,114.48945454545456,57,29.49079754601227,0,0
4657,41.09610389610391,24.132467532467533,18.0,27,-0.2857475490196057,82.19515686274507,66,63.44155844155844,1,0
5412,28.61042944785276,23.617791411042944,15.0,5,-5.725733333333328,129.37804444444438,57,29.49079754601227,0,0
5412,28.61042944785276,23.617791411042944,17.0,5,-1.7181035714285684,120.1932583333333,57,29.49079754601227,0,0
4318,52.025,28.684166666666663,25.0,3,-0.7202762237762218,76.2809358974359,71,33.8325,0,0
4657,33.838961038961045,22.674025974025977,17.0,27,-0.2391067193675898,82.65798418972334,66,63.07792207792208,0,0
4309,51.56139240506329,23.1373417721519,22.0,29,0.020763157894737,76.50876315789472,71,60.10126582278481,0,0
